code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
Y27.0,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, kuća","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В доме, квартире, жилом здании","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, kuća"
Y27.1,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, institucija kao prebivalište","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В специальном учреждении для проживания","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, institucija kao prebivalište"
Y27.2,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, škola, druga institucija i javna administrativna mesta","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y27.3,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, mesta za sport i atletiku","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, mesta za sport i atletiku"
Y27.4,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, ulica i autoput","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. На улице или автомагистрали","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, ulica i autoput"
Y27.5,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В учреждении и районе торговли и обслуживания","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y27.6,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. На производственных и строительных площадях и в помещениях","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y27.7,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, farma","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. На ферме","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, farma"
Y27.8,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, ostala specifična mesta","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В других уточненных местах","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, ostala specifična mesta"
Y27.9,,"Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, neoznačena mesta","Контакт с паром, горячими испарениями и горячими предметами с неопределенными намерениями. В неуточненном месте","#Kontakt sa vodenom parom, vrelim parama i vrelim predmetima, neodređene namere, neoznačena mesta"
Y28,"Contact with sharp object, undetermined intent","Kontakt sa oštrim predmetom, neodređene namere",Контакт с острым предметом с неопределенными намерениями,"#Kontakt sa oštrim predmetom, neodređene namere"
Y28.0,,"Kontakt sa oštrim predmetom, neodređene namere, kuća","Контакт с острым предметом с неопределенными намерениями. В доме, квартире, жилом здании","#Kontakt sa oštrim predmetom, neodređene namere, kuća"
Y28.1,,"Kontakt sa oštrim predmetom, neodređene namere, institucija kao prebivalište",Контакт с острым предметом с неопределенными намерениями. В специальном учреждении для проживания,"#Kontakt sa oštrim predmetom, neodređene namere, institucija kao prebivalište"
Y28.2,,"Kontakt sa oštrim predmetom, neodređene namere, škola, druga institucija i javna administrativna mesta","Контакт с острым предметом с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Kontakt sa oštrim predmetom, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y28.3,,"Kontakt sa oštrim predmetom, neodređene namere, mesta za sport i atletiku",Контакт с острым предметом с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований,"#Kontakt sa oštrim predmetom, neodređene namere, mesta za sport i atletiku"
Y28.4,,"Kontakt sa oštrim predmetom, neodređene namere, ulica i autoput",Контакт с острым предметом с неопределенными намерениями. На улице или автомагистрали,"#Kontakt sa oštrim predmetom, neodređene namere, ulica i autoput"
Y28.5,,"Kontakt sa oštrim predmetom, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti",Контакт с острым предметом с неопределенными намерениями. В учреждении и районе торговли и обслуживания,"#Kontakt sa oštrim predmetom, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y28.6,,"Kontakt sa oštrim predmetom, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti",Контакт с острым предметом с неопределенными намерениями. На производственных и строительных площадях и в помещениях,"#Kontakt sa oštrim predmetom, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y28.7,,"Kontakt sa oštrim predmetom, neodređene namere, farma",Контакт с острым предметом с неопределенными намерениями. На ферме,"#Kontakt sa oštrim predmetom, neodređene namere, farma"
Y28.8,,"Kontakt sa oštrim predmetom, neodređene namere, ostala specifična mesta",Контакт с острым предметом с неопределенными намерениями. В других уточненных местах,"#Kontakt sa oštrim predmetom, neodređene namere, ostala specifična mesta"
Y28.9,,"Kontakt sa oštrim predmetom, neodređene namere, neoznačena mesta",Контакт с острым предметом с неопределенными намерениями. В неуточненном месте,"#Kontakt sa oštrim predmetom, neodređene namere, neoznačena mesta"
Y29,"Contact with blunt object, undetermined intent","Kontakt sa tupim predmetom, neodređene namere",Контакт с тупым предметом с неопределенными намерениями,"#Kontakt sa tupim predmetom, neodređene namere"
Y29.0,,"Kontakt sa tupim predmetom, neodređene namere, kuća","Контакт с тупым предметом с неопределенными намерениями. В доме, квартире, жилом здании","#Kontakt sa tupim predmetom, neodređene namere, kuća"
Y29.1,,"Kontakt sa tupim predmetom, neodređene namere, institucija kao prebivalište",Контакт с тупым предметом с неопределенными намерениями. В специальном учреждении для проживания,"#Kontakt sa tupim predmetom, neodređene namere, institucija kao prebivalište"
Y29.2,,"Kontakt sa tupim predmetom, neodređene namere, škola, druga institucija i javna administrativna mesta","Контакт с тупым предметом с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Kontakt sa tupim predmetom, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y29.3,,"Kontakt sa tupim predmetom, neodređene namere, mesta za sport i atletiku",Контакт с тупым предметом с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований,"#Kontakt sa tupim predmetom, neodređene namere, mesta za sport i atletiku"
Y29.4,,"Kontakt sa tupim predmetom, neodređene namere, ulica i autoput",Контакт с тупым предметом с неопределенными намерениями. На улице или автомагистрали,"#Kontakt sa tupim predmetom, neodređene namere, ulica i autoput"
Y29.5,,"Kontakt sa tupim predmetom, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti",Контакт с тупым предметом с неопределенными намерениями. В учреждении и районе торговли и обслуживания,"#Kontakt sa tupim predmetom, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y29.6,,"Kontakt sa tupim predmetom, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti",Контакт с тупым предметом с неопределенными намерениями. На производственных и строительных площадях и в помещениях,"#Kontakt sa tupim predmetom, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y29.7,,"Kontakt sa tupim predmetom, neodređene namere, farma",Контакт с тупым предметом с неопределенными намерениями. На ферме,"#Kontakt sa tupim predmetom, neodređene namere, farma"
Y29.8,,"Kontakt sa tupim predmetom, neodređene namere, ostala specifična mesta",Контакт с тупым предметом с неопределенными намерениями. В других уточненных местах,"#Kontakt sa tupim predmetom, neodređene namere, ostala specifična mesta"
Y29.9,,"Kontakt sa tupim predmetom, neodređene namere, neoznačena mesta",Контакт с тупым предметом с неопределенными намерениями. В неуточненном месте,"#Kontakt sa tupim predmetom, neodređene namere, neoznačena mesta"
Y30,"Falling, jumping or pushed from a high place, undetermined intent","Padanje, skakanje ili guranje sa visine, neodređene namere","Падение, прыжок или сталкивание с высоты с неопределенными намерениями","#Padanje, skakanje ili guranje sa visine, neodređene namere"
Y30.0,,"Padanje, skakanje ili guranje sa visine, neodređene namere, kuća","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В доме, квартире, жилом здании","#Padanje, skakanje ili guranje sa visine, neodređene namere, kuća"
Y30.1,,"Padanje, skakanje ili guranje sa visine, neodređene namere, institucija kao prebivalište","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В специальном учреждении для проживания","#Padanje, skakanje ili guranje sa visine, neodređene namere, institucija kao prebivalište"
Y30.2,,"Padanje, skakanje ili guranje sa visine, neodređene namere, škola, druga institucija i javna administrativna mesta","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Padanje, skakanje ili guranje sa visine, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y30.3,,"Padanje, skakanje ili guranje sa visine, neodređene namere, mesta za sport i atletiku","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований","#Padanje, skakanje ili guranje sa visine, neodređene namere, mesta za sport i atletiku"
Y30.4,,"Padanje, skakanje ili guranje sa visine, neodređene namere, ulica i autoput","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. На улице или автомагистрали","#Padanje, skakanje ili guranje sa visine, neodređene namere, ulica i autoput"
Y30.5,,"Padanje, skakanje ili guranje sa visine, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В учреждении и районе торговли и обслуживания","#Padanje, skakanje ili guranje sa visine, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y30.6,,"Padanje, skakanje ili guranje sa visine, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. На производственных и строительных площадях и в помещениях","#Padanje, skakanje ili guranje sa visine, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y30.7,,"Padanje, skakanje ili guranje sa visine, neodređene namere, farma","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. На ферме","#Padanje, skakanje ili guranje sa visine, neodređene namere, farma"
Y30.8,,"Padanje, skakanje ili guranje sa visine, neodređene namere, ostala specifična mesta","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В других уточненных местах","#Padanje, skakanje ili guranje sa visine, neodređene namere, ostala specifična mesta"
Y30.9,,"Padanje, skakanje ili guranje sa visine, neodređene namere, neoznačena mesta","Падение, прыжок или сталкивание с высоты с неопределенными намерениями. В неуточненном месте","#Padanje, skakanje ili guranje sa visine, neodređene namere, neoznačena mesta"
Y31,"Falling, lying or running before or into moving object, undetermined intent","Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere"
Y31.0,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, kuća","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В доме, квартире, жилом здании","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, kuća"
Y31.1,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, institucija kao prebivalište","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В специальном учреждении для проживания","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, institucija kao prebivalište"
Y31.2,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, škola, druga institucija i javna administrativna mesta","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y31.3,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, mesta za sport i atletiku","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, mesta za sport i atletiku"
Y31.4,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, ulica i autoput","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. На улице или автомагистрали","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, ulica i autoput"
Y31.5,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В учреждении и районе торговли и обслуживания","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y31.6,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. На производственных и строительных площадях и в помещениях","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y31.7,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, farma","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. На ферме","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, farma"
Y31.8,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, ostala specifična mesta","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В других уточненных местах","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, ostala specifična mesta"
Y31.9,,"Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, neoznačena mesta","Падение, лежание или бег перед движущимся объектом или на него с неопределенными намерениями. В неуточненном месте","#Padanje, ležanje ili trčanje ispred ili prema predmetu koji je u pokretu, neodređene namere, neoznačena mesta"
Y32,"Crashing of motor vehicle, undetermined intent","Razbijanje motornog vozila, neodređene namere",Удар моторного транспортного средства с неопределенными намерениями,"#Razbijanje motornog vozila, neodređene namere"
Y32.0,,"Razbijanje motornog vozila, neodređene namere, kuća","Удар моторного транспортного средства с неопределенными намерениями. В доме, квартире, жилом здании","#Razbijanje motornog vozila, neodređene namere, kuća"
Y32.1,,"Razbijanje motornog vozila, neodređene namere, institucija kao prebivalište",Удар моторного транспортного средства с неопределенными намерениями. В специальном учреждении для проживания,"#Razbijanje motornog vozila, neodređene namere, institucija kao prebivalište"
Y32.2,,"Razbijanje motornog vozila, neodređene namere, škola, druga institucija i javna administrativna mesta","Удар моторного транспортного средства с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Razbijanje motornog vozila, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y32.3,,"Razbijanje motornog vozila, neodređene namere, mesta za sport i atletiku",Удар моторного транспортного средства с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований,"#Razbijanje motornog vozila, neodređene namere, mesta za sport i atletiku"
Y32.4,,"Razbijanje motornog vozila, neodređene namere, ulica i autoput",Удар моторного транспортного средства с неопределенными намерениями. На улице или автомагистрали,"#Razbijanje motornog vozila, neodređene namere, ulica i autoput"
Y32.5,,"Razbijanje motornog vozila, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti",Удар моторного транспортного средства с неопределенными намерениями. В учреждении и районе торговли и обслуживания,"#Razbijanje motornog vozila, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y32.6,,"Razbijanje motornog vozila, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti",Удар моторного транспортного средства с неопределенными намерениями. На производственных и строительных площадях и в помещениях,"#Razbijanje motornog vozila, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y32.7,,"Razbijanje motornog vozila, neodređene namere, farma",Удар моторного транспортного средства с неопределенными намерениями. На ферме,"#Razbijanje motornog vozila, neodređene namere, farma"
Y32.8,,"Razbijanje motornog vozila, neodređene namere, ostala specifična mesta",Удар моторного транспортного средства с неопределенными намерениями. В других уточненных местах,"#Razbijanje motornog vozila, neodređene namere, ostala specifična mesta"
Y32.9,,"Razbijanje motornog vozila, neodređene namere, neoznačena mesta",Удар моторного транспортного средства с неопределенными намерениями. В неуточненном месте,"#Razbijanje motornog vozila, neodređene namere, neoznačena mesta"
Y33,"Other specified events, undetermined intent","Drugi označeni događaji, neodređene namere",Другие уточненные повреждения с неопределенными намерениями,"#Drugi označeni događaji, neodređene namere"
Y33.0,,"Drugi označeni događaji, neodređene namere, kuća","Другие уточненные повреждения с неопределенными намерениями. В доме, квартире, жилом здании","#Drugi označeni događaji, neodređene namere, kuća"
Y33.1,,"Drugi označeni događaji, neodređene namere, institucija kao prebivalište",Другие уточненные повреждения с неопределенными намерениями. В специальном учреждении для проживания,"#Drugi označeni događaji, neodređene namere, institucija kao prebivalište"
Y33.2,,"Drugi označeni događaji, neodređene namere, škola, druga institucija i javna administrativna mesta","Другие уточненные повреждения с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Drugi označeni događaji, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y33.3,,"Drugi označeni događaji, neodređene namere, mesta za sport i atletiku",Другие уточненные повреждения с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований,"#Drugi označeni događaji, neodređene namere, mesta za sport i atletiku"
Y33.4,,"Drugi označeni događaji, neodređene namere, ulica i autoput",Другие уточненные повреждения с неопределенными намерениями. На улице или автомагистрали,"#Drugi označeni događaji, neodređene namere, ulica i autoput"
Y33.5,,"Drugi označeni događaji, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti",Другие уточненные повреждения с неопределенными намерениями. В учреждении и районе торговли и обслуживания,"#Drugi označeni događaji, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y33.6,,"Drugi označeni događaji, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti",Другие уточненные повреждения с неопределенными намерениями. На производственных и строительных площадях и в помещениях,"#Drugi označeni događaji, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y33.7,,"Drugi označeni događaji, neodređene namere, farma",Другие уточненные повреждения с неопределенными намерениями. На ферме,"#Drugi označeni događaji, neodređene namere, farma"
Y33.8,,"Drugi označeni događaji, neodređene namere, ostala specifična mesta",Другие уточненные повреждения с неопределенными намерениями. В других уточненных местах,"#Drugi označeni događaji, neodređene namere, ostala specifična mesta"
Y33.9,,"Drugi označeni događaji, neodređene namere, neoznačena mesta",Другие уточненные повреждения с неопределенными намерениями. В неуточненном месте,"#Drugi označeni događaji, neodređene namere, neoznačena mesta"
Y34,"Unspecified event, undetermined intent","Neoznačeni događaj, neodređene namere",Неуточненные повреждения с неопределенными намерениями,"#Neoznačeni događaj, neodređene namere"
Y34.0,,"Neoznačeni događaj, neodređene namere, kuća","Неуточненные повреждения с неопределенными намерениями. В доме, квартире, жилом здании","#Neoznačeni događaj, neodređene namere, kuća"
Y34.1,,"Neoznačeni događaj, neodređene namere, institucija kao prebivalište",Неуточненные повреждения с неопределенными намерениями. В специальном учреждении для проживания,"#Neoznačeni događaj, neodređene namere, institucija kao prebivalište"
Y34.2,,"Neoznačeni događaj, neodređene namere, škola, druga institucija i javna administrativna mesta","Неуточненные повреждения с неопределенными намерениями. В школе, другом учреждении и общественном административном районе","#Neoznačeni događaj, neodređene namere, škola, druga institucija i javna administrativna mesta"
Y34.3,,"Neoznačeni događaj, neodređene namere, mesta za sport i atletiku",Неуточненные повреждения с неопределенными намерениями. На площадке для занятий спортом и спортивных соревнований,"#Neoznačeni događaj, neodređene namere, mesta za sport i atletiku"
Y34.4,,"Neoznačeni događaj, neodređene namere, ulica i autoput",Неуточненные повреждения с неопределенными намерениями. На улице или автомагистрали,"#Neoznačeni događaj, neodređene namere, ulica i autoput"
Y34.5,,"Neoznačeni događaj, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti",Неуточненные повреждения с неопределенными намерениями. В учреждении и районе торговли и обслуживания,"#Neoznačeni događaj, neodređene namere, mesta za obavljanje trgovine i uslužnih delatnosti"
Y34.6,,"Neoznačeni događaj, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti",Неуточненные повреждения с неопределенными намерениями. На производственных и строительных площадях и в помещениях,"#Neoznačeni događaj, neodređene namere, prostori za obavljanje industrijske i građevinske delatnosti"
Y34.7,,"Neoznačeni događaj, neodređene namere, farma",Неуточненные повреждения с неопределенными намерениями. На ферме,"#Neoznačeni događaj, neodređene namere, farma"
Y34.8,,"Neoznačeni događaj, neodređene namere, ostala specifična mesta",Неуточненные повреждения с неопределенными намерениями. В других уточненных местах,"#Neoznačeni događaj, neodređene namere, ostala specifična mesta"
Y34.9,,"Neoznačeni događaj, neodređene namere, neoznačena mesta",Неуточненные повреждения с неопределенными намерениями. В неуточненном месте,"#Neoznačeni događaj, neodređene namere, neoznačena mesta"
Y35,Legal intervention,Zakonska intervencija,"Действия, предусмотренные законом",#Zakonska intervencija
Y35.0,Legal intervention involving firearm discharge,Zakonska intervencija koja uključuje opaljivanje iz vatrenog oružja,"Повреждения в результате действий, предусмотренных законом, с использованием огнестрельного оружия",#Zakonska intervencija koja uključuje opaljivanje iz vatrenog oružja
Y35.1,Legal intervention involving explosives,Zakonska intervencija koja uključuje primenu eksploziva,"Повреждения в результате действий, предусмотренных законом, с использованием взрывов",#Zakonska intervencija koja uključuje primenu eksploziva
Y35.2,Legal intervention involving gas,Zakonska intervencija koja uključuje primenu gasa,"Повреждения в результате действий, предусмотренных законом, с использованием газа",#Zakonska intervencija koja uključuje primenu gasa
Y35.3,Legal intervention involving blunt objects,Zakonska intervencija koja uključuje primenu tupih predmeta,"Повреждения в результате действий, предусмотренных законом, с использованием тупых предметов",#Zakonska intervencija koja uključuje primenu tupih predmeta
Y35.4,Legal intervention involving sharp objects,Zakonska intervencija koja uključuje primenu oštrih predmeta,"Повреждения в результате действий, предусмотренных законом, с использованием острых предметов",#Zakonska intervencija koja uključuje primenu oštrih predmeta
Y35.5,Legal execution,Zakonska egzekucija,Предусмотренная законом смертная казнь,#Zakonska egzekucija
Y35.6,Legal intervention involving other specified means,Zakonska intervencija koja uključuje druga označena sredstva,Предусмотренное законом нанесение повреждений другими уточненными средствами,#Zakonska intervencija koja uključuje druga označena sredstva
Y35.7,"Legal intervention, means unspecified","Zakonska intervencija, sredstvo neoznačeno",Предусмотренное законом нанесение повреждений неуточненными средствами,"#Zakonska intervencija, sredstvo neoznačeno"
Y36,Operations of war,Ratne operacije,Военные действия,#Ratne operacije
Y36.0,War operations involving explosion of marine weapons,Ratne operacije koje uključuju eksploziju pomorskog oružja,"Повреждения в результате военных действий, причиненные взрывом военно-морского оружия",#Ratne operacije koje uključuju eksploziju pomorskog oružja
Y36.1,War operations involving destruction of aircraft,Ratne operacije koje uključuju razaranje letelice,"Повреждения в результате военных действий, причиненные разрушением самолета",#Ratne operacije koje uključuju razaranje letelice
Y36.2,War operations involving other explosions and fragments,Ratne operacije koje uključuju druge eksplozije i fragmente,"Военные операции, вызвавшие повреждения другими видами взрывов или осколками",#Ratne operacije koje uključuju druge eksplozije i fragmente
Y36.3,"War operations involving fires, conflagrations and hot substances","Ratne operacije koje uključuju primenu vatre, velikih požara i zapaljivih materija","Повреждения в результате военных действий, причиненные огнем, пожаром и горячими веществами","#Ratne operacije koje uključuju primenu vatre, velikih požara i zapaljivih materija"
Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Ratne operacije koje uključuju opaljivanje iz vatrenog oružja i druge oblike konvencionalnog ratovanja,"Повреждения в результате военных действий, причиненные огнестрельным оружием и другими видами обычного вооружения",#Ratne operacije koje uključuju opaljivanje iz vatrenog oružja i druge oblike konvencionalnog ratovanja
Y36.5,War operations involving nuclear weapons,Ratne operacije koje uključuju nuklearno oružje,Военные операции с использованием ядерного оружия,#Ratne operacije koje uključuju nuklearno oružje
Y36.6,War operations involving biological weapons,Ratne operacije koje uključuju biološko oružje,"Военные операции, связанные с использованием биологического оружия",#Ratne operacije koje uključuju biološko oružje
Y36.7,War operations involving chemical weapons and other forms of unconventional warfare,Ratne operacije koje uključuju hemijska oružja i druge oblike nekonvencionalnog ratovanja,"Военные операции, связанные с использованием химического и другого вида оружия массового уничтожения",#Ratne operacije koje uključuju hemijska oružja i druge oblike nekonvencionalnog ratovanja
Y36.8,War operations occurring after cessation of hostilities,Ratne operacije koje su se desile posle prestanka neprijateljstva,"Повреждения, полученные в результате боевых операций после прекращения военных действий",#Ratne operacije koje su se desile posle prestanka neprijateljstva
Y36.9,"War operations, unspecified","Ratne operacije, neoznačene","Повреждения, причиненные неуточненными военными действиями","#Ratne operacije, neoznačene"
Y40,Systemic antibiotics,Antibiotici koji deluju na pojedine sisteme,Антибиотики системного действия,#Antibiotici koji deluju na pojedine sisteme
Y40.0,Penicillins,Penicilini,Пенициллины,#Penicilini
Y40.1,Cefalosporins and other beta-lactam antibiotics,Cefalosporini i drugi beta-laktamski antibiotici,Цефалоспорины и другие бета-лактамные антибиотики,#Cefalosporini i drugi beta-laktamski antibiotici
Y40.2,Chloramphenicol group,Grupa hloramfenikola,Препараты хлорамфениколовой группы,#Grupa hloramfenikola
Y40.3,Macrolides,Makrolidi,Макролиды,#Makrolidi
Y40.4,Tetracyclines,Tetraciklini,Тетрациклины,#Tetraciklini
Y40.5,Aminoglycosides,Aminoglikozidi,Аминогликозиды,#Aminoglikozidi
Y40.6,Rifamycins,Rifamicini,Рифамицины,#Rifamicini
Y40.7,"Antifungal antibiotics, systemically used","Antifungicidni antibiotici, primenjeni sistemski",Противогрибковые антибиотики системного действия,"#Antifungicidni antibiotici, primenjeni sistemski"
Y40.8,Other systemic antibiotics,Drugi antibiotici koji deluju na pojedine sisteme,Другие системные антибиотики,#Drugi antibiotici koji deluju na pojedine sisteme
Y40.9,"Systemic antibiotic, unspecified","Antibiotik koji deluje na pojedine sisteme, neoznačen",Системные антибиотики неуточненные,"#Antibiotik koji deluje na pojedine sisteme, neoznačen"
Y41,Other systemic anti-infectives and antiparasitics,Drugi antiinfektivni i antiparazitarni lekovi koji deluju na pojedine sisteme,Другие противоинфекционные и противопаразитарные средства системного действия,#Drugi antiinfektivni i antiparazitarni lekovi koji deluju na pojedine sisteme
Y41.0,Sulfonamides,Sulfonamidi,Сульфаниламидные препараты,#Sulfonamidi
Y41.1,Antimycobacterial drugs,Antimikobakterijski lekovi,Антимикобактериальные препараты,#Antimikobakterijski lekovi
Y41.2,Antimalarials and drugs acting on other blood protozoa,Antimalarici i lekovi koji deluju na druge protozoe u krvi,"Противомалярийные препараты и средства, действующие на других простейших, паразитирующих в крови",#Antimalarici i lekovi koji deluju na druge protozoe u krvi
Y41.3,Other antiprotozoal drugs,Drugi lekovi koji deluju protiv protozoa,Другие средства для лечения протозойных инфекций,#Drugi lekovi koji deluju protiv protozoa
Y41.4,Anthelminthics,Antihelmintici,Антигельминтные средства,#Antihelmintici
Y41.5,Antiviral drugs,Antivirusni lekovi,Противовирусные лекарственные средства,#Antivirusni lekovi
