number,group_num,group_name,code_length,code,diagnosis_sr,diagnosis_lat
10576,20,Spoljašnji uzroci obolevanja i umiranja,4,V791,Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu,#Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu
10577,20,Spoljašnji uzroci obolevanja i umiranja,4,V792,Putnik (nepoznat) autobusa povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu,#Putnik (nepoznat) autobusa povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu
10578,20,Spoljašnji uzroci obolevanja i umiranja,4,V793,Putnik (svaki) autobusa povređen u neoznačenom nesaobraćajnom udesu,#Putnik (svaki) autobusa povređen u neoznačenom nesaobraćajnom udesu
10579,20,Spoljašnji uzroci obolevanja i umiranja,4,V794,Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu,#Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu
10580,20,Spoljašnji uzroci obolevanja i umiranja,4,V795,Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu,#Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu
10581,20,Spoljašnji uzroci obolevanja i umiranja,4,V796,Putnik (nepoznat) autobusa povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu,#Putnik (nepoznat) autobusa povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu
10582,20,Spoljašnji uzroci obolevanja i umiranja,4,V798,Putnik (svaki) autobusa povređen u drugim označenim saobraćajnim udesima,#Putnik (svaki) autobusa povređen u drugim označenim saobraćajnim udesima
10583,20,Spoljašnji uzroci obolevanja i umiranja,4,V799,Putnik (svaki) autobusa povređen u neoznačenom saobraćajnom udesu,#Putnik (svaki) autobusa povređen u neoznačenom saobraćajnom udesu
10584,20,Spoljašnji uzroci obolevanja i umiranja,3,V80,Jahač životinje ili putnik koji se nalazi u vozilu koje vuče životinja povređen u saobraćajnom udesu,#Jahač životinje ili putnik koji se nalazi u vozilu koje vuče životinja povređen u saobraćajnom udesu
10585,20,Spoljašnji uzroci obolevanja i umiranja,4,V800,Jahač ili putnik povređen padom ili guranjem sa životinje ili vozila koje vuče životinja u udesu bez sudara,#Jahač ili putnik povređen padom ili guranjem sa životinje ili vozila koje vuče životinja u udesu bez sudara
10586,20,Spoljašnji uzroci obolevanja i umiranja,4,V801,Jahač ili putnik povređen u sudaru sa pešakom ili životinjom,#Jahač ili putnik povređen u sudaru sa pešakom ili životinjom
10587,20,Spoljašnji uzroci obolevanja i umiranja,4,V802,Jahač ili putnik povređen u sudaru sa biciklom,#Jahač ili putnik povređen u sudaru sa biciklom
10588,20,Spoljašnji uzroci obolevanja i umiranja,4,V803,Jahač ili putnik povređen u sudaru sa motornim vozilom sa dva ili tri točka,#Jahač ili putnik povređen u sudaru sa motornim vozilom sa dva ili tri točka
10589,20,Spoljašnji uzroci obolevanja i umiranja,4,V804,"Jahač ili putnik povređen u sudaru sa automobilom, dostavnim vozilom, kamionom, teškim transportnim vozilom ili autobusom","#Jahač ili putnik povređen u sudaru sa automobilom, dostavnim vozilom, kamionom, teškim transportnim vozilom ili autobusom"
10590,20,Spoljašnji uzroci obolevanja i umiranja,4,V805,Jahač ili putnik povređen u sudaru sa drugim označenim motornim vozilom,#Jahač ili putnik povređen u sudaru sa drugim označenim motornim vozilom
10591,20,Spoljašnji uzroci obolevanja i umiranja,4,V806,Jahač ili putnik povređen u sudaru sa železničkim vozom ili vozilom na železničkoj pruzi,#Jahač ili putnik povređen u sudaru sa železničkim vozom ili vozilom na železničkoj pruzi
10592,20,Spoljašnji uzroci obolevanja i umiranja,4,V807,Jahač ili putnik povređen u sudaru sa drugim vozilom bez motora,#Jahač ili putnik povređen u sudaru sa drugim vozilom bez motora
10593,20,Spoljašnji uzroci obolevanja i umiranja,4,V808,Jahač ili putnik povređen u sudaru sa fiksiranim ili nepokretnim predmetom,#Jahač ili putnik povređen u sudaru sa fiksiranim ili nepokretnim predmetom
10594,20,Spoljašnji uzroci obolevanja i umiranja,4,V809,Jahač ili putnik povređen u drugim i neoznačenim saobraćajnim udesima,#Jahač ili putnik povređen u drugim i neoznačenim saobraćajnim udesima
10595,20,Spoljašnji uzroci obolevanja i umiranja,3,V81,Putnik voza ili vozila na železničkoj pruzi povređen u saobraćajnom udesu,#Putnik voza ili vozila na železničkoj pruzi povređen u saobraćajnom udesu
10596,20,Spoljašnji uzroci obolevanja i umiranja,4,V810,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa drugim motornim vozilom u nesaobraćajnom udesu,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa drugim motornim vozilom u nesaobraćajnom udesu
10597,20,Spoljašnji uzroci obolevanja i umiranja,4,V811,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa motornim vozilom u saobraćajnom udesu,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa motornim vozilom u saobraćajnom udesu
10598,20,Spoljašnji uzroci obolevanja i umiranja,4,V812,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa odronom ili pri udaru odrona,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa odronom ili pri udaru odrona
10599,20,Spoljašnji uzroci obolevanja i umiranja,4,V813,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa drugim predmetom,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u sudaru sa drugim predmetom
10600,20,Spoljašnji uzroci obolevanja i umiranja,4,V814,Osoba povređena u toku ulaženja ili izlaženja u ili iz železničkog voza ili vozila na železničkoj pruzi,#Osoba povređena u toku ulaženja ili izlaženja u ili iz železničkog voza ili vozila na železničkoj pruzi
10601,20,Spoljašnji uzroci obolevanja i umiranja,4,V815,Putnik železničkog voza ili vozila na železničkoj pruzi povređen padom u vozu ili u vozilu na železničkoj pruzi,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen padom u vozu ili u vozilu na železničkoj pruzi
10602,20,Spoljašnji uzroci obolevanja i umiranja,4,V816,Putnik železničkog voza ili vozila na železničkoj pruzi povređen padom iz voza ili vozila na železničkoj pruzi,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen padom iz voza ili vozila na železničkoj pruzi
10603,20,Spoljašnji uzroci obolevanja i umiranja,4,V817,Putnik železničkog voza ili vozila na železničkoj pruzi povređen pri iskakanju voza iz šina bez prethodnog sudara,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen pri iskakanju voza iz šina bez prethodnog sudara
10604,20,Spoljašnji uzroci obolevanja i umiranja,4,V818,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u drugim označenim železničkim udesima,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u drugim označenim železničkim udesima
10605,20,Spoljašnji uzroci obolevanja i umiranja,4,V819,Putnik železničkog voza ili vozila na železničkoj pruzi povređen u neoznačenom železničkom udesu,#Putnik železničkog voza ili vozila na železničkoj pruzi povređen u neoznačenom železničkom udesu
10606,20,Spoljašnji uzroci obolevanja i umiranja,3,V82,Putnik tramvaja povređen u saobraćajnom udesu,#Putnik tramvaja povređen u saobraćajnom udesu
10607,20,Spoljašnji uzroci obolevanja i umiranja,4,V820,Putnik tramvaja povređen u sudaru sa motornim vozilom u nesaobraćajnom udesu,#Putnik tramvaja povređen u sudaru sa motornim vozilom u nesaobraćajnom udesu
10608,20,Spoljašnji uzroci obolevanja i umiranja,4,V821,Putnik tramvaja povređen u sudaru sa motornim vozilom u saobraćajnom udesu,#Putnik tramvaja povređen u sudaru sa motornim vozilom u saobraćajnom udesu
10609,20,Spoljašnji uzroci obolevanja i umiranja,4,V822,Putnik tramvaja povređen u sudaru sa odronom ili pri udaru odrona,#Putnik tramvaja povređen u sudaru sa odronom ili pri udaru odrona
10610,20,Spoljašnji uzroci obolevanja i umiranja,4,V823,Putnik tramvaja povređen u sudaru sa drugim predmetom,#Putnik tramvaja povređen u sudaru sa drugim predmetom
10611,20,Spoljašnji uzroci obolevanja i umiranja,4,V824,Osoba povređena pri ulasku ili izlasku iz tramvaja,#Osoba povređena pri ulasku ili izlasku iz tramvaja
10612,20,Spoljašnji uzroci obolevanja i umiranja,4,V825,Putnik tramvaja povređen padom u tramvaju,#Putnik tramvaja povređen padom u tramvaju
10613,20,Spoljašnji uzroci obolevanja i umiranja,4,V826,Putnik tramvaja povređen padom iz tramvaja,#Putnik tramvaja povređen padom iz tramvaja
10614,20,Spoljašnji uzroci obolevanja i umiranja,4,V827,Putnik tramvaja povređen tokom iskakanja iz šina bez prethodnog sudara,#Putnik tramvaja povređen tokom iskakanja iz šina bez prethodnog sudara
10615,20,Spoljašnji uzroci obolevanja i umiranja,4,V828,Putnik tramvaja povređen u drugim označenim saobraćajnim udesima,#Putnik tramvaja povređen u drugim označenim saobraćajnim udesima
10616,20,Spoljašnji uzroci obolevanja i umiranja,4,V829,Putnik tramvaja povređen u neoznačenom saobraćajnom udesu,#Putnik tramvaja povređen u neoznačenom saobraćajnom udesu
10617,20,Spoljašnji uzroci obolevanja i umiranja,3,V83,Putnik specijalnog vozila koje se uglavnom koristi u industrijskim postrojenjima povređen u saobraćajnom udesu,#Putnik specijalnog vozila koje se uglavnom koristi u industrijskim postrojenjima povređen u saobraćajnom udesu
10618,20,Spoljašnji uzroci obolevanja i umiranja,4,V830,Vozač specijalnog industrijskog vozila povređen u saobraćajnom udesu,#Vozač specijalnog industrijskog vozila povređen u saobraćajnom udesu
10619,20,Spoljašnji uzroci obolevanja i umiranja,4,V831,Putnik specijalnog industrijskog vozila povređen u saobraćajnom udesu,#Putnik specijalnog industrijskog vozila povređen u saobraćajnom udesu
10620,20,Spoljašnji uzroci obolevanja i umiranja,4,V832,Osoba van i na specijalnom industrijskom vozilu povređena u saobraćajnom udesu,#Osoba van i na specijalnom industrijskom vozilu povređena u saobraćajnom udesu
10621,20,Spoljašnji uzroci obolevanja i umiranja,4,V833,Putnik (nepoznat) specijalnog industrijskog vozila povređen u saobraćajnom udesu,#Putnik (nepoznat) specijalnog industrijskog vozila povređen u saobraćajnom udesu
10622,20,Spoljašnji uzroci obolevanja i umiranja,4,V834,Osoba povređena pri ulasku ili izlasku iz specijalnog industrijskog vozila,#Osoba povređena pri ulasku ili izlasku iz specijalnog industrijskog vozila
10623,20,Spoljašnji uzroci obolevanja i umiranja,4,V835,Vozač specijalnog industrijskog vozila povređen u nesaobraćajnom udesu,#Vozač specijalnog industrijskog vozila povređen u nesaobraćajnom udesu
10624,20,Spoljašnji uzroci obolevanja i umiranja,4,V836,Putnik specijalnog industrijskog vozila povređen u nesaobraćajnom udesu,#Putnik specijalnog industrijskog vozila povređen u nesaobraćajnom udesu
10625,20,Spoljašnji uzroci obolevanja i umiranja,4,V837,Osoba van i na specijalnom industrijskom vozilu povređena u nesaobraćajnom udesu,#Osoba van i na specijalnom industrijskom vozilu povređena u nesaobraćajnom udesu
10626,20,Spoljašnji uzroci obolevanja i umiranja,4,V839,Putnik (nepoznat) specijalnog industrijskog vozila povređen u nesaobraćajnom udesu,#Putnik (nepoznat) specijalnog industrijskog vozila povređen u nesaobraćajnom udesu
10627,20,Spoljašnji uzroci obolevanja i umiranja,3,V84,Putnik specijalnog vozila koje se uglavnom koristi u poljoprivredi povređen u saobraćajnom udesu,#Putnik specijalnog vozila koje se uglavnom koristi u poljoprivredi povređen u saobraćajnom udesu
10628,20,Spoljašnji uzroci obolevanja i umiranja,4,V840,Vozač specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu,#Vozač specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu
10629,20,Spoljašnji uzroci obolevanja i umiranja,4,V841,Putnik specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu,#Putnik specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu
10630,20,Spoljašnji uzroci obolevanja i umiranja,4,V842,Osoba van i na specijalnom poljoprivrednom vozilu povređena u saobraćajnom udesu,#Osoba van i na specijalnom poljoprivrednom vozilu povređena u saobraćajnom udesu
10631,20,Spoljašnji uzroci obolevanja i umiranja,4,V843,Putnik (nepoznat) specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu,#Putnik (nepoznat) specijalnog poljoprivrednog vozila povređen u saobraćajnom udesu
10632,20,Spoljašnji uzroci obolevanja i umiranja,4,V844,Osoba povređena tokom ulaženja ili izlaženja iz specijalnog poljoprivrednog vozila,#Osoba povređena tokom ulaženja ili izlaženja iz specijalnog poljoprivrednog vozila
10633,20,Spoljašnji uzroci obolevanja i umiranja,4,V845,Vozač specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu,#Vozač specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu
10634,20,Spoljašnji uzroci obolevanja i umiranja,4,V846,Putnik specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu,#Putnik specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu
10635,20,Spoljašnji uzroci obolevanja i umiranja,4,V847,Osoba van i na specijalnom poljoprivrednom vozilu povređena u nesaobraćajnom udesu,#Osoba van i na specijalnom poljoprivrednom vozilu povređena u nesaobraćajnom udesu
10636,20,Spoljašnji uzroci obolevanja i umiranja,4,V849,Putnik (nepoznat) specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu,#Putnik (nepoznat) specijalnog poljoprivrednog vozila povređen u nesaobraćajnom udesu
10637,20,Spoljašnji uzroci obolevanja i umiranja,3,V85,Putnik vozila specijalne konstrukcije povređen u saobraćajnom udesu,#Putnik vozila specijalne konstrukcije povređen u saobraćajnom udesu
10638,20,Spoljašnji uzroci obolevanja i umiranja,4,V850,Vozač vozila specijalne konstrukcije povređen u saobraćajnom udesu,#Vozač vozila specijalne konstrukcije povređen u saobraćajnom udesu
10639,20,Spoljašnji uzroci obolevanja i umiranja,4,V851,Putnik vozila specijalne konstrukcije povređen u saobraćajnom udesu,#Putnik vozila specijalne konstrukcije povređen u saobraćajnom udesu
10640,20,Spoljašnji uzroci obolevanja i umiranja,4,V852,Osoba van i na vozilu specijalne konstrukcije povređena u saobraćajnom udesu,#Osoba van i na vozilu specijalne konstrukcije povređena u saobraćajnom udesu
10641,20,Spoljašnji uzroci obolevanja i umiranja,4,V853,Putnik (nepoznat) vozila specijalne konstrukcije povređen u saobraćajnom udesu,#Putnik (nepoznat) vozila specijalne konstrukcije povređen u saobraćajnom udesu
10642,20,Spoljašnji uzroci obolevanja i umiranja,4,V854,Osoba povređena tokom ulaska ili izlaska iz vozila specijalne konstrukcije,#Osoba povređena tokom ulaska ili izlaska iz vozila specijalne konstrukcije
10643,20,Spoljašnji uzroci obolevanja i umiranja,4,V855,Vozač vozila specijalne konstrukcije povređen u nesaobraćajnom udesu,#Vozač vozila specijalne konstrukcije povređen u nesaobraćajnom udesu
10644,20,Spoljašnji uzroci obolevanja i umiranja,4,V856,Putnik vozila specijalne konstrukcije povređen u nesaobraćajnom udesu,#Putnik vozila specijalne konstrukcije povređen u nesaobraćajnom udesu
10645,20,Spoljašnji uzroci obolevanja i umiranja,4,V857,Osoba van i na vozilu specijalne konstrukcije povređena u nesaobraćajnom udesu,#Osoba van i na vozilu specijalne konstrukcije povređena u nesaobraćajnom udesu
10646,20,Spoljašnji uzroci obolevanja i umiranja,4,V859,Putnik (nepoznat) vozila specijalne konstrukcije povređen u nesaobraćajnom udesu,#Putnik (nepoznat) vozila specijalne konstrukcije povređen u nesaobraćajnom udesu
10647,20,Spoljašnji uzroci obolevanja i umiranja,3,V86,"Putnik specijalnog vozila za sve terene ili drugog motornog vozila namenjenog prvenstveno za korišćenje van puteva, povređen u saobraćajnom udesu","#Putnik specijalnog vozila za sve terene ili drugog motornog vozila namenjenog prvenstveno za korišćenje van puteva, povređen u saobraćajnom udesu"
10648,20,Spoljašnji uzroci obolevanja i umiranja,4,V860,Vozač vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu,#Vozač vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu
10649,20,Spoljašnji uzroci obolevanja i umiranja,4,V861,Putnik vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu,#Putnik vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu
10650,20,Spoljašnji uzroci obolevanja i umiranja,4,V862,Osoba van i na vozilu za sve terene ili drugom motornom vozilu za korišćenje van puteva povređena u saobraćajnom udesu,#Osoba van i na vozilu za sve terene ili drugom motornom vozilu za korišćenje van puteva povređena u saobraćajnom udesu
10651,20,Spoljašnji uzroci obolevanja i umiranja,4,V863,Putnik (nepoznat) vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu,#Putnik (nepoznat) vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u saobraćajnom udesu
10652,20,Spoljašnji uzroci obolevanja i umiranja,4,V864,Osoba povređena tokom ulaska ili izlaska iz vozila za sve terene ili drugog motornog vozila za korišćenje van puteva,#Osoba povređena tokom ulaska ili izlaska iz vozila za sve terene ili drugog motornog vozila za korišćenje van puteva
10653,20,Spoljašnji uzroci obolevanja i umiranja,4,V865,Vozač vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu,#Vozač vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu
10654,20,Spoljašnji uzroci obolevanja i umiranja,4,V866,Putnik vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu,#Putnik vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu
10655,20,Spoljašnji uzroci obolevanja i umiranja,4,V867,Osoba na i van vozila za sve terene ili drugom motornom vozilu za korišćenje van puteva povređena u nesaobraćajnom udesu,#Osoba na i van vozila za sve terene ili drugom motornom vozilu za korišćenje van puteva povređena u nesaobraćajnom udesu
10656,20,Spoljašnji uzroci obolevanja i umiranja,4,V869,Putnik (nepoznat) vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu,#Putnik (nepoznat) vozila za sve terene ili drugog motornog vozila za korišćenje van puteva povređen u nesaobraćajnom udesu
10657,20,Spoljašnji uzroci obolevanja i umiranja,3,V87,Saobraćajni udes označenog tipa s tim što je način transporta žrtve nepoznat,#Saobraćajni udes označenog tipa s tim što je način transporta žrtve nepoznat
10658,20,Spoljašnji uzroci obolevanja i umiranja,4,V870,Osoba povređena u sudaru između automobila i motornog vozila sa dva ili tri točka (u saobraćaju),#Osoba povređena u sudaru između automobila i motornog vozila sa dva ili tri točka (u saobraćaju)
10659,20,Spoljašnji uzroci obolevanja i umiranja,4,V871,Osoba povređena u sudaru između drugog motornog vozila i motornog vozila sa dva ili tri točka (u saobraćaju),#Osoba povređena u sudaru između drugog motornog vozila i motornog vozila sa dva ili tri točka (u saobraćaju)
10660,20,Spoljašnji uzroci obolevanja i umiranja,4,V872,Osoba povređena u sudaru između automobila i dostavnog vozila ili kamiona (u saobraćaju),#Osoba povređena u sudaru između automobila i dostavnog vozila ili kamiona (u saobraćaju)
10661,20,Spoljašnji uzroci obolevanja i umiranja,4,V873,Osoba povređena u sudaru između automobila i autobusa (u saobraćaju),#Osoba povređena u sudaru između automobila i autobusa (u saobraćaju)
10662,20,Spoljašnji uzroci obolevanja i umiranja,4,V874,Osoba povređena u sudaru između automobila i teškog transportnog vozila (u saobraćaju),#Osoba povređena u sudaru između automobila i teškog transportnog vozila (u saobraćaju)
10663,20,Spoljašnji uzroci obolevanja i umiranja,4,V875,Osoba povređena u sudaru između teškog transportnog vozila i autobusa (u saobraćaju),#Osoba povređena u sudaru između teškog transportnog vozila i autobusa (u saobraćaju)
10664,20,Spoljašnji uzroci obolevanja i umiranja,4,V876,Osoba povređena u sudaru između železničkog voza ili vozila na železničkoj pruzi i automobila (u saobraćaju),#Osoba povređena u sudaru između železničkog voza ili vozila na železničkoj pruzi i automobila (u saobraćaju)
10665,20,Spoljašnji uzroci obolevanja i umiranja,4,V877,Osoba povređena u sudaru između drugih označenih motornih vozila (u saobraćaju),#Osoba povređena u sudaru između drugih označenih motornih vozila (u saobraćaju)
10666,20,Spoljašnji uzroci obolevanja i umiranja,4,V878,Osoba povređena u drugim označenim saobraćajnim udesima bez sudara u kojima je učestvovalo motorno vozilo (u saobraćaju),#Osoba povređena u drugim označenim saobraćajnim udesima bez sudara u kojima je učestvovalo motorno vozilo (u saobraćaju)
10667,20,Spoljašnji uzroci obolevanja i umiranja,4,V879,Osoba povređena u drugim označenim (sa sudarom) (bez sudara) saobraćajnim udesima u kojima je učestvovalo vozilo bez motora (u saobraćaju),#Osoba povređena u drugim označenim (sa sudarom) (bez sudara) saobraćajnim udesima u kojima je učestvovalo vozilo bez motora (u saobraćaju)
10668,20,Spoljašnji uzroci obolevanja i umiranja,3,V88,Nesaobraćajni udes označenog tipa s tim što je način transporta žrtve nepoznat,#Nesaobraćajni udes označenog tipa s tim što je način transporta žrtve nepoznat
10669,20,Spoljašnji uzroci obolevanja i umiranja,4,V880,"Osoba povređena u sudaru između automobila i motornog vozila sa dva ili tri točka, van saobraćaja","#Osoba povređena u sudaru između automobila i motornog vozila sa dva ili tri točka, van saobraćaja"
10670,20,Spoljašnji uzroci obolevanja i umiranja,4,V881,"Osoba povređena u sudaru između drugog motornog vozila i motornog vozila sa dva ili tri točka, van saobraćaja","#Osoba povređena u sudaru između drugog motornog vozila i motornog vozila sa dva ili tri točka, van saobraćaja"
10671,20,Spoljašnji uzroci obolevanja i umiranja,4,V882,"Osoba povređena u sudaru između automobila i dostavnog vozila ili kamiona, van saobraćaja","#Osoba povređena u sudaru između automobila i dostavnog vozila ili kamiona, van saobraćaja"
10672,20,Spoljašnji uzroci obolevanja i umiranja,4,V883,"Osoba povređena u sudaru između automobila i autobusa, van saobraćaja","#Osoba povređena u sudaru između automobila i autobusa, van saobraćaja"
10673,20,Spoljašnji uzroci obolevanja i umiranja,4,V884,"Osoba povređena u sudaru između automobila i teškog transportnog vozila, van saobraćaja","#Osoba povređena u sudaru između automobila i teškog transportnog vozila, van saobraćaja"
10674,20,Spoljašnji uzroci obolevanja i umiranja,4,V885,"Osoba povređena u sudaru između teškog transportnog vozila i autobusa, van saobraćaja","#Osoba povređena u sudaru između teškog transportnog vozila i autobusa, van saobraćaja"
10675,20,Spoljašnji uzroci obolevanja i umiranja,4,V886,"Osoba povređena u sudaru između železničkog voza ili vozila na železničkoj pruzi i automobila, van saobraćaja","#Osoba povređena u sudaru između železničkog voza ili vozila na železničkoj pruzi i automobila, van saobraćaja"
10676,20,Spoljašnji uzroci obolevanja i umiranja,4,V887,"Osoba povređena u sudaru između drugih označenih motornih vozila, van saobraćaja","#Osoba povređena u sudaru između drugih označenih motornih vozila, van saobraćaja"
10677,20,Spoljašnji uzroci obolevanja i umiranja,4,V888,"Osoba povređena u drugim označenim saobraćajnim udesima bez sudara u kojima je učestvovalo motorno vozilo, van saobraćaja","#Osoba povređena u drugim označenim saobraćajnim udesima bez sudara u kojima je učestvovalo motorno vozilo, van saobraćaja"
10678,20,Spoljašnji uzroci obolevanja i umiranja,4,V889,"Osoba povređena u drugim označenim saobraćajnim udesima (sa sudarom) (bez sudara) u kojima je učestvovalo vozilo bez motora, van saobraćaja","#Osoba povređena u drugim označenim saobraćajnim udesima (sa sudarom) (bez sudara) u kojima je učestvovalo vozilo bez motora, van saobraćaja"
10679,20,Spoljašnji uzroci obolevanja i umiranja,3,V89,"Udes motornog vozila ili vozila bez motora, tip vozila neoznačen","#Udes motornog vozila ili vozila bez motora, tip vozila neoznačen"
10680,20,Spoljašnji uzroci obolevanja i umiranja,4,V890,"Osoba povređena u udesu neoznačenog motornog vozila, van saobraćaja","#Osoba povređena u udesu neoznačenog motornog vozila, van saobraćaja"
10681,20,Spoljašnji uzroci obolevanja i umiranja,4,V891,"Osoba povređena u udesu neoznačenog vozila bez motora, van saobraćaja","#Osoba povređena u udesu neoznačenog vozila bez motora, van saobraćaja"
10682,20,Spoljašnji uzroci obolevanja i umiranja,4,V892,"Osoba povređena u udesu neoznačenog motornog vozila, u saobraćaju","#Osoba povređena u udesu neoznačenog motornog vozila, u saobraćaju"
10683,20,Spoljašnji uzroci obolevanja i umiranja,4,V893,Osoba povređena u neoznačenom udesu vozila bez motora u saobraćaju,#Osoba povređena u neoznačenom udesu vozila bez motora u saobraćaju
10684,20,Spoljašnji uzroci obolevanja i umiranja,4,V899,Osoba povređena u udesu neoznačenog vozila,#Osoba povređena u udesu neoznačenog vozila
10685,20,Spoljašnji uzroci obolevanja i umiranja,3,V90,Udes plovila koji uzrokuje davljenje i potapanje,#Udes plovila koji uzrokuje davljenje i potapanje
10686,20,Spoljašnji uzroci obolevanja i umiranja,4,V900,Udes plovila koji uzrokuje davljenje i potapanje: Trgovački brod,#Udes plovila koji uzrokuje davljenje i potapanje: Trgovački brod
10687,20,Spoljašnji uzroci obolevanja i umiranja,4,V901,Udes plovila koji uzrokuje davljenje i potapanje: Putnički brod,#Udes plovila koji uzrokuje davljenje i potapanje: Putnički brod
10688,20,Spoljašnji uzroci obolevanja i umiranja,4,V902,Udes plovila koji uzrokuje davljenje i potapanje: Ribarski brod,#Udes plovila koji uzrokuje davljenje i potapanje: Ribarski brod
10689,20,Spoljašnji uzroci obolevanja i umiranja,4,V903,Udes plovila koji uzrokuje davljenje i potapanje: Druga plovila sa motorom,#Udes plovila koji uzrokuje davljenje i potapanje: Druga plovila sa motorom
10690,20,Spoljašnji uzroci obolevanja i umiranja,4,V904,Udes plovila koji uzrokuje davljenje i potapanje: Jedrilica,#Udes plovila koji uzrokuje davljenje i potapanje: Jedrilica
10691,20,Spoljašnji uzroci obolevanja i umiranja,4,V905,Udes plovila koji uzrokuje davljenje i potapanje: Kanu ili kajak,#Udes plovila koji uzrokuje davljenje i potapanje: Kanu ili kajak
10692,20,Spoljašnji uzroci obolevanja i umiranja,4,V906,Udes plovila koji uzrokuje davljenje i potapanje: Plovilo na naduvavanje (bez motora),#Udes plovila koji uzrokuje davljenje i potapanje: Plovilo na naduvavanje (bez motora)
10693,20,Spoljašnji uzroci obolevanja i umiranja,4,V907,Udes plovila koji uzrokuje davljenje i potapanje: Skije za vodu,#Udes plovila koji uzrokuje davljenje i potapanje: Skije za vodu
10694,20,Spoljašnji uzroci obolevanja i umiranja,4,V908,Udes plovila koji uzrokuje davljenje i potapanje: Druga plovila bez motora,#Udes plovila koji uzrokuje davljenje i potapanje: Druga plovila bez motora
10695,20,Spoljašnji uzroci obolevanja i umiranja,4,V909,Udes plovila koji uzrokuje davljenje i potapanje: Neoznačeno plovilo,#Udes plovila koji uzrokuje davljenje i potapanje: Neoznačeno plovilo
10696,20,Spoljašnji uzroci obolevanja i umiranja,3,V91,Udes plovila koji uzrokuje drugu povredu,#Udes plovila koji uzrokuje drugu povredu
10697,20,Spoljašnji uzroci obolevanja i umiranja,4,V910,Udes plovila koji uzrokuje drugu povredu: Trgovački brod,#Udes plovila koji uzrokuje drugu povredu: Trgovački brod
10698,20,Spoljašnji uzroci obolevanja i umiranja,4,V911,Udes plovila koji uzrokuje drugu povredu: Putnički brod,#Udes plovila koji uzrokuje drugu povredu: Putnički brod
10699,20,Spoljašnji uzroci obolevanja i umiranja,4,V912,Udes plovila koji uzrokuje drugu povredu: Ribarski brod,#Udes plovila koji uzrokuje drugu povredu: Ribarski brod
